"state","revenue","year"
"ME","2,359,590",2021
"MD","12,026,945",2021
"MA","23,356,481",2021
"MI","13,495,663",2021
"MN","17,593,996",2021
"MS","3,065,829",2021
"MO","8,402,368",2021
"MT","2,157,888",2021
"NE","3,701,819",2021
"NV","X",2021
"NH","1,136,978",2021
"NJ","22,793,255",2021
"NM","1,351,634",2021
"NY","59,641,803",2021
"NC","17,423,701",2021
"ND","604,162",2021
"OH","10,668,765",2021
"OK","4,368,893",2021
"OR","12,480,427",2021
"PA","20,023,246",2021
"RI","2,015,621",2021
"SC","6,196,557",2021
"SD","53,960",2021
"TN","2,743,837",2021
"TX","X",2021
"UT","7,418,368",2021
"VT","1,399,998",2021
"VA","18,645,899",2021
"WA","X",2021
"WV","2,574,275",2021
"WI","11,553,157",2021
"WY","X",2021
"US","37,122,640",2021
"AL","119,348",2021
"AK","387,367",2021
"AZ","183,800",2021
"AR","156,361",2021
"CA","1,251,825",2021
"CO","0",2021
"CT","664,295",2021
"DE","247,865",2021
"DC","649,177",2021
"FL","4,875,626",2021
"GA","138,964",2021
"HI","93,998",2021
"ID","8,947",2021
"IL","566,990",2021
"IN","1,057",2021
"IA","130,739",2021
"KS","27,553",2021
"KY","156,233",2021
"LA","301,942",2021
"ME","92,585",2021
"MD","743,738",2021
"MA","1,267,153",2021
"MI","434,961",2021
"MN","680,128",2021
"MS","29,635",2021
"MO","14,648",2021
"MT","137,542",2021
"NE","23,653",2021
"NV","1,014,004",2021
"NH","212,289",2021
"NJ","1,026,284",2021
"NM","1,862,066",2021
"NY","4,342,557",2021
"NC","124,676",2021
"ND","1,662,082",2021
"OH","63,045",2021
"OK","869,570",2021
"OR","428,531",2021
"PA","2,166,427",2021
"RI","55,857",2021
"SC","183,899",2021
"SD","10,914",2021
"TN","408,140",2021
"TX","5,089,433",2021
"UT","38,333",2021
"VT","108,754",2021
"VA","924,388",2021
"WA","2,280,949",2021
"WV","298,344",2021
"WI","126,603",2021
"WY","439,365",2021
