Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Total Taxes,T00,"1,093,452,066","11,782,220","1,780,911","18,163,903","10,217,866","187,638,267","15,869,834","19,131,944","4,596,190","8,679,390","45,017,095","24,723,046","8,207,524","4,902,173","45,453,840","22,968,677","10,583,869","10,030,158","13,049,436","11,870,499","4,674,441","23,605,971","31,806,339","30,270,130","28,175,795","8,288,883","13,181,385","3,168,557","5,754,834","9,744,547","2,934,358","38,449,650","7,427,622","85,368,973","29,324,429","4,969,744","30,739,230","10,787,693","14,184,891","43,132,450","3,612,575","11,221,043","1,940,415","16,450,938","63,314,370","9,918,773","3,493,747","27,076,451","27,992,437","5,792,317","19,871,532","2,110,704"
Property Taxes,T01,"21,126,574","422,322","121,501","1,091,363","1,208,746","2,977,083",X,X,X,"2,789,077",X,"864,858",X,X,"60,781","13,225","1,982","752,820","648,739","76,050","41,110","836,498","8,285","2,194,160","812,497","28,362","34,022","312,300",127,"335,207","408,499","5,014","86,754",X,X,"4,636",X,X,"21,310","37,234","2,774","42,450",X,X,X,X,"1,111,956","32,599","3,358,585","6,900","103,230","273,518"
Sales and Gross Receipts Taxes,TA1,"507,951,593","5,829,203","278,823","10,443,788","4,920,468","59,632,877","5,988,535","7,787,888","602,601","2,060,332","36,492,076","9,509,465","5,062,134","2,520,264","19,534,290","12,580,882","4,857,865","4,523,724","6,311,232","6,522,329","2,327,733","9,895,931","9,557,950","14,347,394","11,169,575","5,232,943","5,549,210","663,096","2,579,592","7,835,623","961,594","15,838,942","3,684,304","27,230,515","12,802,893","1,563,632","19,372,664","4,655,400","1,870,274","22,140,157","1,877,924","5,241,143","1,614,664","12,353,713","53,905,367","4,017,858","1,165,401","9,425,132","21,373,727","2,790,535","8,494,026","953,905"
License Taxes,TA3,"59,159,086","551,815","159,757","580,141","403,627","11,041,442","697,149","411,470","1,785,406","245,447","2,341,679","720,874","280,311","419,487","2,779,724","767,938","990,985","433,280","523,696","438,495","291,044","912,788","1,199,646","2,030,560","1,495,685","512,541","628,550","388,817","184,373","700,863","462,125","1,701,016","332,445","1,807,412","2,336,658","228,684","1,977,268","1,004,786","1,312,328","2,773,590","121,006","648,504","273,497","1,909,972","3,643,272","353,455","126,071","939,377","1,746,818","216,342","1,118,129","208,741"
Income Taxes,TA4,"471,574,731","4,879,140","332,520","5,871,515","3,546,406","113,872,440","8,966,205","10,511,616","2,031,392","2,941,983","3,114,711","13,448,213","2,758,743","1,953,737","22,584,556","9,605,266","4,633,614","4,264,874","5,391,757","4,328,623","1,961,936","11,368,130","20,097,631","11,292,994","14,111,719","2,463,296","6,956,929","1,597,960","2,969,418",X,"954,387","19,812,595","1,792,638","52,383,984","14,095,305","561,797","9,320,571","3,868,327","10,758,070","16,479,430","1,552,958","5,155,320","46,295","1,899,369",X,"5,501,011","1,010,471","16,164,873",X,"2,295,606","10,064,400",X
Other Taxes,TA5,"33,640,082","99,740","888,310","177,096","138,619","114,425","217,945","420,970","176,791","642,551","3,068,629","179,636","106,336","8,685","494,489","1,366","99,423","55,460","174,012","505,002","52,618","592,624","942,827","405,022","586,319","51,741","12,674","206,384","21,324","872,854","147,753","1,092,083","1,531,481","3,947,062","89,573","2,610,995","68,727","1,259,180","222,909","1,702,039","57,913","133,626","5,959","287,884","5,765,731","46,449","79,848","514,470","1,513,307","482,934","91,747","674,540"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
