Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Total Taxes,T00,"1,068,784,950","12,413,368","1,337,059","17,640,435","10,255,155","172,977,355","15,074,484","18,400,534","4,555,474","8,422,068","43,314,743","23,760,988","7,707,502","5,315,760","45,284,625","22,374,096","10,661,437","9,659,846","13,353,640","11,495,966","4,851,219","23,890,161","31,631,567","27,960,375","26,790,884","8,099,990","12,409,761","3,168,411","5,857,227","9,452,840","2,807,111","37,927,482","7,194,016","92,720,854","28,307,011","4,336,232","30,604,964","10,232,297","13,229,766","40,693,000","3,551,200","11,794,684","2,018,423","16,775,270","61,496,546","8,731,796","3,440,660","28,064,536","29,173,046","5,434,302","20,170,888","1,963,896"
Property Taxes,T01,"21,878,780","445,584","125,696","1,096,339","1,207,396","3,063,367",X,X,X,"2,914,431",X,"662,443",X,X,"59,589","13,881","1,815","783,279","654,791","90,472","42,626","867,051","8,926","2,373,197","756,066","29,387","36,525","332,869",128,"346,902","408,937","4,974","109,667",X,X,"5,427",X,X,"22,633","39,359","2,843","42,290",X,X,X,X,"1,150,268","36,381","3,738,779","7,392","101,087","295,983"
Sales and Gross Receipts Taxes,TA1,"514,786,927","6,274,912","255,206","10,746,188","5,137,583","63,554,860","6,011,981","7,468,451","585,504","1,652,190","35,167,486","9,538,551","4,923,969","2,714,828","20,650,013","12,506,535","4,958,143","4,598,189","6,539,197","6,174,643","2,401,733","9,518,562","9,489,653","13,307,546","11,352,902","5,264,298","5,458,755","678,835","2,812,655","7,594,926","922,118","16,271,749","3,950,769","28,388,278","12,840,706","1,564,960","20,327,399","4,622,832","1,937,212","21,445,063","1,898,767","5,381,858","1,678,709","13,219,753","53,347,554","4,232,521","1,164,652","10,067,447","21,763,083","2,818,977","8,652,410","951,816"
License Taxes,TA3,"59,911,259","570,754","152,187","584,022","391,409","12,008,966","678,829","370,415","1,851,617","202,042","2,319,054","719,188","274,200","432,993","2,748,276","792,545","1,021,357","432,005","542,825","417,186","284,666","799,856","1,130,025","2,017,443","1,578,328","487,110","634,725","453,759","186,656","637,899","420,669","1,691,586","340,239","1,823,176","2,199,765","220,690","1,922,181","1,008,620","1,610,441","2,602,799","124,557","633,783","295,378","1,672,204","3,875,185","351,234","140,193","972,928","1,615,374","221,617","1,243,553","204,750"
Income Taxes,TA4,"441,059,619","5,028,324","194,663","5,053,472","3,383,968","94,230,200","8,235,796","10,239,719","1,930,761","3,104,933","2,481,710","12,688,415","2,402,772","2,159,428","21,448,044","9,060,144","4,580,513","3,813,961","5,470,599","4,366,639","2,059,590","12,024,332","19,947,124","9,842,335","12,527,608","2,282,688","6,266,128","1,525,034","2,836,811",X,"903,303","18,977,957","1,323,482","58,483,690","13,168,249","458,354","8,288,666","3,666,521","9,528,152","14,882,239","1,455,159","5,600,556","37,459","1,562,523",X,"4,094,707","904,264","16,358,821",X,"2,099,935","10,079,871",X
Other Taxes,TA5,"31,148,365","93,794","609,307","160,414","134,799","119,962","147,878","321,949","187,592","548,472","3,346,493","152,391","106,561","8,511","378,703",991,"99,609","32,412","146,228","447,026","62,604","680,360","1,055,839","419,854","575,980","36,507","13,628","177,914","20,977","873,113","152,084","981,216","1,469,859","4,025,710","98,291","2,086,801","66,718","934,324","131,328","1,723,540","69,874","136,197","6,877","320,790","4,273,807","53,334","81,283","628,959","2,055,810","286,381","93,967","511,347"
