Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Total Taxes,T00,"1,275,750,945","14,251,329","1,053,400","20,757,247","11,726,678","254,818,453","19,250,711","22,066,648","5,395,710","8,996,257","49,320,041","27,850,996","8,046,691","6,472,467","55,531,962","26,645,852","11,816,502","11,615,757","14,626,499","12,257,234","5,452,250","25,220,541","36,336,125","34,431,625","31,793,412","9,428,105","15,091,423","3,880,366","6,960,988","9,056,648","3,317,286","43,683,029","7,487,814","91,821,961","34,735,106","3,908,672","34,909,388","11,299,244","17,741,902","49,634,346","4,371,625","13,392,479","2,149,543","19,977,968","65,466,119","12,347,773","4,102,929","32,328,105","32,717,084","6,030,929","22,300,850","1,874,876"
Property Taxes,T01,"23,357,063","468,015","120,028","1,266,990","1,308,040","3,151,488",X,X,X,"2,994,580",X,"732,325",X,X,"59,589","13,876","2,024","815,701","707,461","103,750","44,636","893,215","10,368","2,396,416","809,160","29,885","37,418","334,759",123,"386,450","401,407","5,166","114,185",X,X,"5,207",X,X,"25,127","40,395","3,864","78,975",X,X,X,X,"1,203,059","43,332","4,350,245","8,122","95,757","295,925"
Sales and Gross Receipts Taxes,TA1,"552,864,863","7,014,522","267,842","11,249,699","5,752,828","64,367,044","6,994,813","8,148,270","587,923","1,644,534","38,522,113","10,257,930","4,147,624","3,180,226","23,486,335","13,847,723","5,522,117","4,970,129","7,088,138","6,853,513","2,629,517","10,587,203","10,427,871","15,925,763","11,204,458","5,732,309","5,945,293","768,499","3,040,622","6,955,725","1,043,942","17,871,986","3,848,402","26,018,886","14,586,128","1,426,888","22,148,518","4,975,670","3,514,217","24,448,865","2,131,988","6,226,021","1,783,982","14,492,861","56,646,008","4,519,388","1,247,617","11,719,392","24,013,256","2,968,554","9,184,622","927,089"
License Taxes,TA3,"66,293,682","606,351","153,176","618,052","423,851","13,626,240","731,321","387,836","2,076,828","201,696","2,515,112","750,136","258,953","473,872","3,818,851","819,109","1,101,447","457,796","535,774","477,174","325,922","969,440","1,274,252","2,178,822","1,505,670","570,447","691,696","481,678","194,771","700,469","522,670","1,986,338","311,527","1,818,715","2,600,601","210,333","2,029,060","1,085,111","1,293,600","2,955,413","164,295","707,027","300,687","2,333,130","3,730,678","371,684","143,501","995,094","2,072,634","181,634","1,340,711","212,497"
Income Taxes,TA4,"596,112,697","6,043,093","124,987","7,438,706","4,085,598","172,421,856","11,524,577","12,866,247","2,483,094","3,506,270","3,407,190","15,971,641","3,546,116","2,809,422","27,600,197","11,964,087","5,060,175","5,344,578","6,138,893","4,520,855","2,359,590","12,026,945","23,356,481","13,495,663","17,593,996","3,065,829","8,402,368","2,157,888","3,701,819",X,"1,136,978","22,793,255","1,351,634","59,641,803","17,423,701","604,162","10,668,765","4,368,893","12,480,427","20,023,246","2,015,621","6,196,557","53,960","2,743,837",X,"7,418,368","1,399,998","18,645,899",X,"2,574,275","11,553,157",X
Other Taxes,TA5,"37,122,640","119,348","387,367","183,800","156,361","1,251,825",0,"664,295","247,865","649,177","4,875,626","138,964","93,998","8,947","566,990","1,057","130,739","27,553","156,233","301,942","92,585","743,738","1,267,153","434,961","680,128","29,635","14,648","137,542","23,653","1,014,004","212,289","1,026,284","1,862,066","4,342,557","124,676","1,662,082","63,045","869,570","428,531","2,166,427","55,857","183,899","10,914","408,140","5,089,433","38,333","108,754","924,388","2,280,949","298,344","126,603","439,365"
