Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Total Taxes,T00,"1,041,365,054","11,055,577","1,656,352","16,310,140","9,819,284","178,437,038","14,924,842","18,831,458","4,220,057","7,959,386","45,961,204","23,602,510","7,714,451","4,835,969","42,575,392","22,056,726","10,088,480","9,546,790","12,297,789","11,357,686","4,410,632","22,427,037","29,654,803","30,046,808","26,697,469","7,890,571","13,025,070","3,003,980","5,393,093","9,157,036","2,920,888","35,365,046","5,539,329","86,870,101","27,854,728","4,205,184","29,324,817","9,506,058","12,647,344","40,709,545","3,358,594","10,530,212","1,917,548","15,743,880","60,328,843","9,365,418","3,326,560","24,315,846","26,579,324","5,443,291","18,717,467","1,837,401"
Property Taxes,T01,"20,020,990","406,288","122,341","1,047,254","1,188,905","2,837,386",X,X,X,"2,621,626",X,"927,590",X,X,"59,589","12,927","1,671","714,895","660,902","60,172","39,308","808,763","7,197","2,182,188","818,513","29,540","33,267","300,258",129,"317,136","408,769","5,016","84,224",X,X,"4,549",X,X,"20,116","34,399","2,704","37,298",X,X,X,X,"1,065,767","31,890","2,769,520","7,316","101,424","250,153"
Sales and Gross Receipts Taxes,TA1,"488,569,980","5,534,807","252,970","9,708,694","4,834,983","57,345,108","5,712,243","7,556,076","585,645","1,930,168","38,456,615","9,132,965","4,732,032","2,383,727","18,699,777","12,119,558","4,687,073","4,494,809","5,714,427","6,864,723","2,250,293","9,567,244","9,022,362","14,398,369","10,614,808","5,030,854","5,539,227","655,034","2,502,020","7,329,456","1,025,902","15,424,507","2,874,807","26,399,319","12,213,452","1,395,503","18,348,501","4,193,511","1,660,004","21,034,252","1,682,021","4,948,178","1,585,089","11,817,903","51,462,209","3,857,825","1,137,650","7,688,302","20,327,520","2,727,006","8,247,655","862,797"
License Taxes,TA3,"57,226,894","521,990","153,636","511,257","409,856","10,504,521","816,832","390,816","1,574,927","198,930","2,123,462","719,422","275,600","367,178","2,751,479","749,114","954,503","433,229","499,174","393,129","281,155","850,913","1,154,719","1,945,619","1,476,228","492,415","596,167","379,198","196,215","661,240","435,544","1,542,213","322,473","1,771,629","2,196,526","214,463","2,202,036","1,018,657","1,089,312","2,721,979","110,799","582,294","291,896","1,763,747","3,635,024","342,694","126,404","891,685","2,070,931","219,003","1,107,139","187,522"
Income Taxes,TA4,"444,759,155","4,490,316","196,321","4,918,318","3,256,931","107,640,534","8,293,045","10,495,390","1,907,137","2,641,587","2,426,900","12,648,079","2,576,863","2,076,673","20,602,157","9,173,644","4,340,423","3,851,644","5,248,586","3,604,434","1,790,833","10,540,951","18,689,278","11,137,752","13,239,334","2,290,344","6,843,948","1,480,269","2,674,286",X,"895,770","17,273,498","1,182,422","54,581,311","13,352,120","474,912","8,707,947","3,495,264","9,684,005","15,287,269","1,447,270","4,836,268","32,376","1,890,667",X,"5,122,567","930,149","15,271,376",X,"2,060,639","9,157,348",X
Other Taxes,TA5,"30,788,035","102,176","931,084","124,617","128,609","109,489","102,722","389,176","152,348","567,075","2,954,227","174,454","129,956","8,391","462,390","1,483","104,810","52,213","174,700","435,228","49,043","659,166","781,247","382,880","548,586","47,418","12,461","189,221","20,443","849,204","154,903","1,119,812","1,075,403","4,117,842","92,630","2,115,757","66,333","798,626","193,907","1,631,646","115,800","126,174","8,187","271,563","5,231,610","42,332","66,590","432,593","1,411,353","429,327","103,901","536,929"
