Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Sales and Use Tax Exemption for Community Renewable Energy Projects,https://programs.dsireusa.org/system/program/detail/2576/sales-and-use-tax-exemption-for-community-renewable-energy-projects,NE,Financial Incentive,Sales Tax Incentive,05/31/2007,12/12/2024
Residential Wood Heating Fuel Exemption,https://programs.dsireusa.org/system/program/detail/4874/residential-wood-heating-fuel-exemption,NY,Financial Incentive,Sales Tax Incentive,06/20/2011,12/09/2024
Renewable Energy Systems Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/44/renewable-energy-systems-sales-tax-exemption,VT,Financial Incentive,Sales Tax Incentive,01/01/2000,12/18/2024
Renewable Energy Sales Tax Exemptions,https://programs.dsireusa.org/system/program/detail/3223/renewable-energy-sales-tax-exemptions,WI,Financial Incentive,Sales Tax Incentive,01/22/2009,12/10/2024
Renewable Energy Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/576/renewable-energy-sales-and-use-tax-exemption,WA,Financial Incentive,Sales Tax Incentive,05/18/2001,12/04/2024
Renewable Energy Sales and Use Tax Abatement,https://programs.dsireusa.org/system/program/detail/3233/renewable-energy-sales-and-use-tax-abatement,NV,Financial Incentive,Sales Tax Incentive,01/27/2009,03/21/2025
Renewable Energy Products Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/1237/renewable-energy-products-sales-and-use-tax-exemption,RI,Financial Incentive,Sales Tax Incentive,08/16/2005,12/05/2023
Renewable Energy Facility Sales and Use Tax Reimbursement,https://programs.dsireusa.org/system/program/detail/5422/renewable-energy-facility-sales-and-use-tax-reimbursement,SD,Financial Incentive,Sales Tax Incentive,06/26/2013,12/04/2024
Renewable Energy Equipment Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/145/renewable-energy-equipment-sales-tax-exemption,MA,Financial Incentive,Sales Tax Incentive,01/01/2000,01/02/2025
Renewable Energy Equipment Exemption,https://programs.dsireusa.org/system/program/detail/56/renewable-energy-equipment-exemption,IA,Financial Incentive,Sales Tax Incentive,01/01/2000,03/17/2025
