Name,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated,Details
Property Tax Exemption for Renewable Energy Generation Facilities,NE,Financial Incentive,Property Tax Incentive,08/03/2011,11/12/2024,https://programs.dsireusa.org/system/program/detail/4946/property-tax-exemption-for-renewable-energy-generation-facilities
Property Tax Exemption for Renewable Energy Equipment,RI,Financial Incentive,Property Tax Incentive,08/01/2016,03/23/2023,https://programs.dsireusa.org/system/program/detail/5882/property-tax-exemption-for-renewable-energy-equipment
Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,CA,Financial Incentive,Property Tax Incentive,04/19/2001,03/18/2025,https://programs.dsireusa.org/system/program/detail/558/property-tax-exclusion-for-solar-energy-systems-and-solar-plus-storage-system
Property Tax Assessment for Renewable Energy Equipment,AZ,Financial Incentive,Property Tax Incentive,06/24/2008,11/12/2024,https://programs.dsireusa.org/system/program/detail/2984/property-tax-assessment-for-renewable-energy-equipment
Property Tax Assessment for Commercial Wind Farms,PA,Financial Incentive,Property Tax Incentive,12/19/2006,07/11/2020,https://programs.dsireusa.org/system/program/detail/2369/property-tax-assessment-for-commercial-wind-farms
Property Tax Abatement for Solar Electric Systems,NC,Financial Incentive,Property Tax Incentive,08/11/2008,03/21/2025,https://programs.dsireusa.org/system/program/detail/3036/property-tax-abatement-for-solar-electric-systems
Property Tax Abatement for Renewable Energy Property,FL,Financial Incentive,Property Tax Incentive,07/10/2013,01/02/2025,https://programs.dsireusa.org/system/program/detail/5426/property-tax-abatement-for-renewable-energy-property
Prince George's County - Solar and Geothermal Residential Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,10/30/2008,07/06/2020,https://programs.dsireusa.org/system/program/detail/3106/prince-george-s-county-solar-and-geothermal-residential-property-tax-credit
New York City - Property Tax Abatement for Photovoltaic (PV) and Energy Storage Equipment,NY,Financial Incentive,Property Tax Incentive,08/11/2008,10/28/2024,https://programs.dsireusa.org/system/program/detail/3037/new-york-city-property-tax-abatement-for-photovoltaic-pv-and-energy-storage-equipment
Montgomery County - Residential Energy Conservation Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,10/30/2008,07/03/2020,https://programs.dsireusa.org/system/program/detail/3107/montgomery-county-residential-energy-conservation-property-tax-credit
