Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Residential Energy Conservation Subsidy Exclusion (Personal),https://programs.dsireusa.org/system/program/detail/666/residential-energy-conservation-subsidy-exclusion-personal,US,Financial Incentive,Personal Tax Exemption,03/05/2002,07/20/2022
Electric Vehicle Tax Exemption,https://programs.dsireusa.org/system/program/detail/22202/electric-vehicle-tax-exemption,NJ,Financial Incentive,Personal Tax Exemption,06/10/2021,11/20/2024
Electric Vehicle Excise Tax Exemption,https://programs.dsireusa.org/system/program/detail/22164/electric-vehicle-excise-tax-exemption,DC,Financial Incentive,Personal Tax Exemption,05/27/2021,08/12/2021
Alternative Fuel Vehicles Tax Exemption,https://programs.dsireusa.org/system/program/detail/22148/alternative-fuel-vehicles-tax-exemption,AZ,Financial Incentive,Personal Tax Exemption,05/20/2021,06/02/2023
